
DRAFT (MLD.)	DRAFT (B.O.K)	DIS. (S.W)	DIS. (F.W)	VOL. (MLD)	L.C.F.	L.C.B.	V.C.B.	T.P.C.	M.T.C.	K.M.T	Cb	Cp	Cw	Cm	W.P.A.	W.S.A.
4.100	4.117	17516.8	17089.6	17037.7	5.736	6.968	2.148	46.3	461.05	22.142	.7585	.7686	.8234	.9869	4511.0	5386
4.150	4.167	17749.4	17316.5	17264.2	5.685	6.950	2.176	46.4	462.35	21.944	.7594	.7693	.8243	.9871	4515.9	5406
4.200	4.217	17981.9	17543.3	17490.7	5.634	6.932	2.204	46.4	463.64	21.750	.7602	.7700	.8252	.9873	4520.8	5426
4.250	4.267	18214.5	17770.2	17717.2	5.583	6.915	2.231	46.5	464.94	21.562	.7609	.7707	.8261	.9874	4525.8	5446
4.300	4.317	18447.0	17997.1	17943.7	5.532	6.898	2.257	46.5	466.24	21.378	.7617	.7713	.8270	.9875	4530.7	5465
4.350	4.367	18679.6	18224.0	18170.2	5.481	6.882	2.282	46.6	467.53	21.199	.7625	.7720	.8279	.9877	4535.6	5485
4.400	4.417	18912.1	18450.8	18396.7	5.430	6.866	2.307	46.6	468.83	21.024	.7632	.7726	.8288	.9878	4540.6	5505
4.450	4.467	19144.7	18677.7	18623.2	5.380	6.850	2.331	46.7	470.13	20.854	.7639	.7732	.8297	.9880	4545.5	5525
4.500	4.517	19377.2	18904.6	18849.7	5.329	6.835	2.355	46.7	471.42	20.688	.7646	.7738	.8306	.9881	4550.4	5544
4.550	4.567	19609.7	19131.5	19076.2	5.279	6.820	2.378	46.8	472.72	20.525	.7653	.7744	.8315	.9882	4555.3	5564
4.600	4.617	19842.3	19358.3	19302.7	5.229	6.806	2.400	46.8	474.02	20.367	.7660	.7750	.8324	.9884	4560.3	5584
4.650	4.667	20074.8	19585.2	19529.2	5.178	6.791	2.422	46.9	475.31	20.212	.7666	.7755	.8333	.9885	4565.2	5604
4.700	4.717	20307.4	19812.1	19755.7	5.128	6.778	2.444	46.9	476.61	20.060	.7673	.7761	.8342	.9886	4570.1	5624
4.750	4.767	20540.5	20039.5	19982.7	5.076	6.763	2.466	47.0	477.90	19.913	.7679	.7767	.8351	.9887	4575.0	5643
4.800	4.817	20777.3	20270.6	20213.4	5.009	6.737	2.497	47.0	479.15	19.770	.7687	.7773	.8359	.9888	4579.4	5663
4.850	4.867	21014.2	20501.6	20444.1	4.942	6.712	2.527	47.1	480.41	19.631	.7694	.7780	.8367	.9890	4583.8	5683
4.900	4.917	21251.0	20732.7	20674.8	4.875	6.688	2.557	47.1	481.66	19.495	.7702	.7787	.8375	.9891	4588.2	5703
4.950	4.967	21487.9	20963.8	20905.5	4.808	6.664	2.586	47.2	482.91	19.362	.7709	.7793	.8383	.9892	4592.6	5723
5.000	5.017	21724.7	21194.9	21136.2	4.741	6.640	2.615	47.2	484.16	19.232	.7716	.7800	.8391	.9893	4597.0	5742
5.050	5.067	21961.6	21425.9	21366.9	4.674	6.618	2.642	47.2	485.41	19.105	.7723	.7806	.8399	.9894	4601.5	5762
5.100	5.117	22198.5	21657.0	21597.6	4.608	6.595	2.670	47.3	486.66	18.981	.7730	.7812	.8407	.9895	4605.9	5782
5.150	5.167	22435.3	21888.1	21828.3	4.541	6.573	2.696	47.3	487.92	18.859	.7737	.7818	.8415	.9896	4610.3	5802
5.200	5.217	22672.2	22119.2	22059.0	4.475	6.552	2.722	47.4	489.17	18.739	.7743	.7824	.8423	.9897	4614.7	5822
5.250	5.267	22909.0	22350.3	22289.7	4.409	6.531	2.748	47.4	490.42	18.622	.7750	.7830	.8431	.9898	4619.1	5841
5.300	5.317	23145.9	22581.3	22520.4	4.343	6.510	2.773	47.5	491.67	18.508	.7756	.7835	.8440	.9899	4623.5	5861
5.350	5.367	23382.7	22812.4	22751.1	4.277	6.490	2.797	47.5	492.92	18.396	.7762	.7841	.8448	.9900	4627.9	5881
5.400	5.417	23619.6	23043.5	22981.8	4.211	6.471	2.821	47.6	494.18	18.286	.7768	.7846	.8456	.9901	4632.3	5901
5.450	5.467	23856.4	23274.6	23212.5	4.145	6.451	2.845	47.6	495.43	18.178	.7774	.7852	.8464	.9902	4636.7	5921
5.500	5.517	24093.3	23505.7	23443.2	4.080	6.432	2.868	47.7	496.68	18.072	.7780	.7857	.8472	.9903	4641.2	5940
5.550	5.567	24330.1	23736.7	23673.8	4.015	6.414	2.891	47.7	497.9	17.969	.7786	.7862	.8480	.9904	4645.6	5960
5.600	5.617	24567.0	23967.8	23904.6	3.949	6.396	2.913	47.7	499.2	17.867	.7792	.7867	.8488	.9904	4650.0	5980
5.650	5.667	24804.5	24199.5	24135.9	3.882	6.375	2.936	47.8	500.4	17.768	.7798	.7872	.8496	.9905	4654.3	6000
5.700	5.717	25045.2	24434.4	24370.4	3.802	6.345	2.967	47.8	501.5	17.674	.7804	.7878	.8502	.9906	4658.0	6020
5.750	5.767	25285.9	24669.2	24604.8	3.723	6.315	2.996	47.9	502.6	17.581	.7811	.7884	.8509	.9907	4661.6	6040
5.800	5.817	25526.6	24904.0	24839.2	3.644	6.286	3.026	47.9	503.7	17.489	.7817	.7890	.8516	.9908	4665.3	6060
