
DRAFT (MLD.)	DRAFT (B.O.K)	DIS. (S.W)	DIS. (F.W)	VOL. (MLD)	L.C.F.	L.C.B.	V.C.B.	T.P.C.	M.T.C.	K.M.T	Cb	Cp	Cw	Cm	W.P.A.	W.S.A.
11.450	11.467	53762.4	52451.1	52351.8	-3.936	2.319	5.991	51.7	626.3	13.469	.8346	.8385	.9193	.9953	5036	8358
11.500	11.517	54020.8	52703.2	52603.7	-3.929	2.289	6.018	51.7	626.9	13.462	.8350	.8389	.9196	.9953	5037	8376
11.550	11.567	54279.2	52955.3	52855.5	-3.923	2.259	6.044	51.7	627.5	13.455	.8353	.8392	.9199	.9954	5039	8394
11.600	11.617	54537.6	53207.4	53107.4	-3.916	2.230	6.069	51.7	628.1	13.447	.8357	.8396	.9202	.9954	5040	8413
11.650	11.667	54796.0	53459.5	53359.2	-3.910	2.200	6.095	51.7	628.7	13.440	.8360	.8399	.9205	.9954	5042	8431
11.700	11.717	55054.4	53711.6	53611.1	-3.903	2.172	6.120	51.8	629.3	13.433	.8364	.8402	.9208	.9954	5044	8449
11.750	11.767	55312.8	53963.7	53863.0	-3.897	2.143	6.145	51.8	630.0	13.426	.8368	.8406	.9210	.9954	5045	8467
11.800	11.817	55571.1	54215.8	54114.8	-3.890	2.115	6.170	51.8	630.6	13.419	.8371	.8409	.9213	.9955	5047	8486
11.850	11.867	55829.5	54467.8	54366.7	-3.884	2.086	6.195	51.8	631.2	13.413	.8375	.8413	.9216	.9955	5049	8504
11.900	11.917	56087.9	54719.9	54618.5	-3.877	2.058	6.219	51.8	631.8	13.406	.8378	.8416	.9219	.9955	5050	8522
11.950	11.967	56347.1	54972.4	54871.1	-3.865	2.032	6.245	51.8	632.4	13.401	.8382	.8419	.9222	.9955	5052	8541
12.000	12.017	56606.9	55226.2	55124.4	-3.851	2.005	6.273	51.8	632.9	13.398	.8385	.8423	.9225	.9955	5053	8559
12.050	12.067	56866.7	55479.7	55377.6	-3.835	1.979	6.301	51.9	633.5	13.395	.8389	.8426	.9227	.9956	5055	8577
12.100	12.117	57126.5	55733.2	55630.8	-3.819	1.953	6.329	51.9	634.1	13.393	.8392	.8430	.9230	.9956	5056	8595
12.150	12.167	57386.3	55986.7	55884.1	-3.804	1.927	6.356	51.9	634.7	13.390	.8396	.8433	.9233	.9956	5058	8614
12.200	12.217	57646.1	56240.1	56137.3	-3.788	1.901	6.383	51.9	635.2	13.387	.8399	.8436	.9235	.9956	5059	8632
12.250	12.267	57905.9	56493.6	56390.5	-3.773	1.876	6.410	51.9	635.8	13.384	.8403	.8440	.9238	.9956	5061	8650
12.300	12.317	58165.7	56747.7	56643.8	-3.757	1.851	6.437	51.9	636.4	13.381	.8406	.8443	.9241	.9956	5062	8668
12.350	12.367	58425.5	57000.5	56897.0	-3.742	1.826	6.463	52.0	636.9	13.379	.8409	.8446	.9243	.9957	5063	8687
12.400	12.417	58685.3	57254.0	57150.2	-3.726	1.801	6.489	52.0	637.5	13.376	.8413	.8449	.9246	.9957	5065	8705
12.450	12.467	58945.2	57507.5	57403.4	-3.711	1.777	6.515	52.0	638.1	13.373	.8416	.8453	.9249	.9957	5066	8723
12.500	12.517	59205.0	57760.9	57656.7	-3.695	1.753	6.541	52.0	638.7	13.371	.8419	.8456	.9252	.9957	5068	8742
12.550	12.567	59464.8	58014.4	57909.9	-3.680	1.728	6.566	52.0	639.2	13.368	.8423	.8459	.9254	.9957	5069	8760
12.600	12.617	59724.6	58267.9	58163.1	-3.664	1.705	6.592	52.0	639.8	13.365	.8426	.8462	.9257	.9958	5071	8778
12.650	12.667	59984.4	58521.3	58416.4	-3.649	1.681	6.617	52.0	640.4	13.363	.8429	.8465	.9260	.9958	5072	8796
12.700	12.717	60244.2	58774.8	58669.6	-3.633	1.658	6.642	52.1	640.9	13.360	.8432	.8468	.9262	.9958	5074	8815
12.750	12.767	60504.0	59028.3	58922.8	-3.618	1.634	6.666	52.1	641.5	13.358	.8436	.8471	.9265	.9958	5075	8833
12.800	12.817	60763.8	59281.8	59176.1	-3.603	1.611	6.691	52.1	642.1	13.355	.8439	.8474	.9268	.9958	5077	8851
12.850	12.867	61024.4	59535.0	59430.1	-3.589	1.589	6.715	52.1	642.7	13.355	.8442	.8477	.9270	.9958	5078	8869
12.900	12.917	61285.5	59790.2	59684.6	-3.562	1.568	6.745	52.1	643.2	13.356	.8445	.8481	.9273	.9958	5080	8888
12.950	12.967	61545.6	60045.5	59939.1	-3.541	1.547	6.773	52.1	643.7	13.357	.8449	.8484	.9275	.9959	5081	8906
13.000	13.017	61807.8	60300.3	60193.6	-3.519	1.526	6.800	52.1	644.3	13.359	.8452	.8487	.9278	.9959	5082	8924
13.050	13.067	62068.9	60555.0	60448.1	-3.498	1.505	6.827	52.2	644.8	13.360	.8455	.8490	.9281	.9959	5084	8943
13.100	13.117	62330.0	60809.8	60702.7	-3.477	1.485	6.854	52.2	645.4	13.361	.8458	.8493	.9283	.9959	5085	8961
13.150	13.167	62591.2	61064.5	60957.2	-3.455	1.464	6.881	52.2	645.9	13.362	.8461	.8496	.9286	.9959	5087	8979
13.200	13.217	62852.3	61319.3	61211.7	-3.434	1.444	6.908	52.2	646.5	13.364	.8465	.8499	.9288	.9959	5088	8998
13.250	13.267	63113.4	61574.1	61466.3	-3.413	1.424	6.934	52.2	647.0	13.365	.8468	.8502	.9291	.9960	5089	9016
13.300	13.317	63374.6	61828.8	61720.4	-3.391	1.404	6.960	52.2	647.6	13.366	.8471	.8505	.9293	.9960	5091	9034
13.350	13.367	63635.7	62083.6	61975.3	-3.370	1.384	6.986	52.2	648.1	13.367	.8474	.8508	.9296	.9960	5092	9052
13.400	13.417	63896.8	62338.4	62229.8	-3.349	1.365	7.012	52.3	648.7	13.368	.8477	.8511	.9299	.9960	5094	9071
13.450	13.467	64157.9	62593.1	62484.3	-3.327	1.345	7.037	52.3	649.2	13.369	.8480	.8514	.9301	.9960	5095	9089
13.500	13.517	64419.1	62847.9	62738.9	-3.306	1.326	7.062	52.3	649.8	13.371	.8483	.8517	.9304	.9960	5096	9107
13.550	13.567	64680.2	63102.6	62993.4	-3.285	1.307	7.087	52.3	650.3	13.372	.8486	.8520	.9306	.9960	5098	9126
13.600	13.617	64941.3	63357.4	63247.9	-3.263	1.288	7.112	52.3	650.9	13.373	.8489	.8522	.9309	.9961	5099	9144
13.650	13.667	65202.5	63612.2	63502.4	-3.242	1.269	7.137	52.3	651.4	13.374	.8492	.8525	.9311	.9961	5101	9162
13.700	13.717	65463.6	63866.9	63757.0	-3.220	1.250	7.161	52.3	651.9	13.375	.8495	.8528	.9314	.9961	5102	9181
13.750	13.767	65725.6	64122.5	64012.3	-3.199	1.233	7.188	52.4	652.5	13.379	.8498	.8531	.9316	.9961	5103	9199
13.800	13.817	65988.0	64379.5	64268.1	-3.177	1.216	7.216	52.4	653.0	13.383	.8501	.8534	.9319	.9961	5105	9217
13.850	13.867	66250.4	64634.5	64523.9	-3.155	1.199	7.243	52.4	653.6	13.388	.8504	.8537	.9322	.9961	5106	9235
13.900	13.917	66512.8	64890.6	64779.6	-3.134	1.183	7.271	52.4	654.1	13.393	.8507	.8540	.9324	.9961	5108	9254

